,sets,results,vol_cors,open_cors,vol_avgs,open_avgs,averaging
62,"['CFG', 'SJM']",43.36,0.5014313011240035,0.6538840792529194,2962714.514089005,68.72959159605827,6.5
63,"['DVA', 'MOS']",14.36,0.571313634582661,0.7876225648642918,3123851.3110846244,51.22864619852959,21.44
64,"['TGT', 'ODFL']",65.03,0.5336308611788422,0.9388776264787616,3234682.6976559395,69.21788327770665,56.79
65,"['CI', 'MMM']",-23.65,0.662281246843924,0.9451249549566649,2410267.679777513,137.76559991954005,-17.19
66,"['DRE', 'MAS']",39.46,0.5523993080778177,0.9833386318680988,3492293.5135081448,25.46521395295681,41.64
67,"['CLX', 'FTI']",-7.03,0.5874994548261996,0.9473548064831623,2218325.4866905045,76.8029429753432,-10.24
68,"['AON', 'EMN']",13.93,0.7048986868179384,0.7637410829896911,1437845.05363528,92.09621272354218,34.41
69,"['CMS', 'PBCT']",-29.13,0.6210324894105244,0.6755904344309833,3065163.0512514897,26.931199851091012,2.39
70,"['NWL', 'CVX']",-25.94,0.5578687731544708,0.5200256558672897,5770724.3345252285,68.52044297136104,0.23
71,"['WMB', 'PNW']",-7.16,0.5979879491206025,0.663035837534588,4774583.82677791,49.727513296622156,-7.82
72,"['F', 'SBUX']",9.52,0.6566759304327185,0.7748281969851086,27656917.46126341,31.335998233936113,-21.31
73,"['CARR', 'RMD']",-15.57,0.5923648868114455,0.8351479864636423,4267046.281187922,51.457265604186446,-6.14
74,"['MMM', 'CERN']",-33.34,0.6319853118413892,0.8825340517187628,2454527.1354787443,103.55219259970616,4.42
75,"['COO', 'RHI']",18.19,0.5337492989640317,0.8949853398693989,825380.5721096543,114.62437023925175,14.08
76,"['KSS', 'SNA']",7.62,0.5800962034714109,0.5321747053547041,2297710.071513707,89.09316439054578,-13.57
77,"['SHW', 'JNPR']",32.95,0.6561325440140003,0.5208588301676369,3362727.592371871,162.56335708628018,30.07
78,"['ADM', 'CTXS']",-8.98,0.6351047500761048,0.6588006312863959,3148538.2642034166,57.83423830205882,21.94
79,"['ROST', 'TGT']",33.91,0.661630015607086,0.866544536921582,4425129.479539134,66.45290622874106,23.7
80,"['MSI', 'AVY']",9.17,0.6505946868911846,0.9602783999523581,1233836.935836313,79.42681099850364,39.5
81,"['CTSH', 'TEL']",42.48,0.5342035855369358,0.9567014313476411,3159662.4950337703,60.07834624183239,39.47
82,"['TFC', 'VRSN']",19.23,0.5364510922935875,0.8486682990665104,3059401.7679777513,67.41196065333612,30.11
83,"['TYL', 'ICE']",61.52,0.5342052450589888,0.9840434446874056,1797721.2753277712,101.86876246149595,55.42
84,"['TIF', 'SYF']",8.86,0.533243381574593,0.6267045757662029,3963343.571450355,59.63284662536185,-3.04
85,"['CMS', 'FANG']",-43.37,0.535505388550935,0.6989359815130405,1986381.5142331948,58.03233087244321,-12.7
86,"['CMG', 'BK']",17.99,0.5523651325725475,0.6018781108649358,3383622.66587207,284.3584287694204,26.99
87,"['CLX', 'IQV']",8.25,0.5118034874641757,0.9586685757461564,1116972.3980616294,105.89371575457685,-6.35
88,"['MRK', 'SJM']",12.72,0.5188119001224165,0.7805999992606689,6345375.625744935,82.20552841272911,8.34
89,"['CAG', 'JCI']",49.67,0.5702211831308435,0.7905906253567501,4713857.516686532,32.99973655627936,42.98
90,"['BAC', 'APA']",28.49,0.5497708373964766,0.8810401179413647,56251998.31148192,39.94101908134003,-30.25
91,"['AEE', 'CPRT']",114.1,0.5746161685391166,0.9642805140873655,1560307.4493444576,42.444422442997364,57.58
92,"['DG', 'LEG']",16.23,0.5141492698424562,0.7137891460782904,2131313.011521653,61.36528205113795,18.95
93,"['MHK', 'PSX']",-37.56,0.514783898968672,0.88947338268444,2007829.8922246755,111.93431049143416,-27.87
94,"['NVDA', 'PSX']",12.67,0.5278915275881436,0.7228217095347333,7842967.3773259865,94.2219148165843,-1.78
95,"['EA', 'COO']",-0.77,0.5171468932972458,0.9442611915803718,2393094.3583631306,125.03611634390478,21.13
96,"['PAYX', 'DPZ']",32.74,0.5504099072277682,0.9619772813850136,1503041.6368692887,102.68554630628122,29.19
