sets,result,averaging,vol_cors,open_cors,vol_avg1,vol_std1,vol_avg2,vol_std2,open_avg1,open_std1,open_avg2,open_avg2
"['ADM', 'HUM']",-3.75,13.25,0.630430489,0.782825149,1899388.917,3948987.207,1090884.263,1401947.914,6.923489463,40.10986492,103.3529422,191.5224315
"['TFX', 'HON']",62.68,26.83,0.546397201,0.980621768,282710.8522,268114.3822,1584440.176,3378344.826,104.2634394,174.7567899,40.73619224,108.1093141
"['EQIX', 'MRK']",20.61,6.56,0.626450511,0.940986648,535749.6413,703503.1387,6163608.772,11824270.96,177.5264538,329.6986729,15.20588902,58.28496225
"['HII', 'NVR']",-8.06,18.75,0.503086182,0.924845695,321613.957,355710.3126,23458.1946,32783.94915,73.35060543,138.1058383,1075.352819,1902.356607
"['FB', 'INCY']",48.76,22.4,0.506466907,0.860982567,28582772.53,32130972.26,1309629.144,1584930.274,68.0587865,124.1213134,35.54241123,67.25826777
"['FAST', 'WM']",30.36,53.9,0.569618447,0.900461495,2880125.644,4753137.386,1520386.802,2352541.279,7.078303359,25.44826577,28.14149537,64.99435044
"['TDG', 'FLS']",-4.83,20.41,0.54790413,0.403613505,429754.4356,468839.9285,724052.4388,1343015.892,138.6061077,257.3596383,12.23997249,47.33898154
"['SYF', 'LNC']",-7.7,-23.78,0.415990369,0.475856678,6072445.843,6109755.13,1587953.658,2441845.093,4.602710012,30.59178181,16.68226617,47.9402384
"['ICE', 'VMC']",7.26,20.22,0.575687742,0.948867974,2295892.283,3369558.244,702647.1615,1114640.246,23.92200388,54.51227254,36.31873341,89.34425104
"['GPC', 'DLR']",3.51,9,0.572950998,0.779924099,448285.9394,820487.0481,1297240.956,1440621.573,15.72004303,84.77046483,29.12212496,89.32741355
"['JNPR', 'ODFL']",43.3,48.35,0.563843515,0.514043218,4265602.566,5958166.468,719260.9785,882028.6055,4.679464174,24.74679779,46.40203312,63.48385953
"['NCLH', 'ABMD']",6.94,-33.99,0.569657536,0.289251115,14258687.72,5621369.346,516035.1602,510582.6778,13.01929325,43.25931104,115.2222461,123.0537624
"['DIS', 'NUE']",-0.7,-8.4,0.605302861,0.769293642,5988319.064,9201194.239,1180386.995,2560751.371,31.7534765,90.942805,8.36427506,49.59011913
"['PEG', 'COTY']",2.29,-75.88,0.521167299,0.124583617,1296635.548,3003247.517,7845439.929,5649480.189,9.495213905,42.91145406,7.005532128,16.67272202
"['PNC', 'MCHP']",28.16,29.81,0.587872005,0.945846099,1420172.377,2713474.533,1685198.501,2410585.697,31.12410308,98.03329759,25.82657102,61.4798133
"['ANSS', 'DUK']",11.67,42.17,0.588377077,0.865984245,431999.9519,459479.7378,1570245.765,3423043.424,73.44052196,123.9282917,10.58896886,76.02450136
"['AMGN', 'EQIX']",18.8,32.07,0.609531876,0.957071592,2345544.647,3820811.204,535749.6413,703503.1387,53.62489617,146.7706317,177.5264538,329.6986729
